EF_Scale,longitude,latitude,altitude
EF1,-84.92104000000001,36.13007,3
EF1,-84.93339,36.13181,3
EF1,-84.94531000000001,36.13316,3
EF1,-84.94545967000001,36.13244856,3
EF1,-84.94572027,36.13199921,3
EF1,-84.94575287000001,36.13201874,3
EF2,-84.96516,36.13649,4
EF1,-84.98688882,36.13865737,3
EF1,-84.98825382,36.13932139,3
EF1,-84.99243194,36.14097053,3
EF1,-84.99794941,36.13914575,3
EF1,-84.9995579,36.13940655,3
EF1,-85.52058,36.17215,3
EF1,-85.52101999999999,36.17157,3
EF1,-85.52334000000001,36.17163,3
EF1,-85.52735,36.17242,3
EF1,-85.52905,36.17223,3
EF1,-85.52967,36.17185,3
EF1,-85.53122999999999,36.17177,3
EF1,-85.53486,36.17208,3
EF2,-85.53643,36.17276,4
EF2,-85.53644,36.17253,4
EF1,-85.53653,36.17225,3
EF2,-85.53682000000001,36.1727,4
EF2,-85.53686,36.17245,4
EF2,-85.53769,36.17295,4
EF2,-85.53771999999999,36.17262,4
EF1,-85.53801,36.17235,3
EF2,-85.53805,36.17282,4
EF2,-85.53873,36.17291,4
EF2,-85.53946999999999,36.17161,4
EF1,-85.5395,36.17125,3
EF1,-85.53968999999999,36.17385,3
EF2,-85.54012,36.17334,4
EF2,-85.54046,36.1717,4
EF2,-85.5427,36.17409,4
EF2,-85.54398999999999,36.17333,4
EF1,-85.54559,36.17288,3
EF1,-85.54707999999999,36.1742,3
EF2,-85.54781,36.1736,4
EF1,-85.54814,36.17427,3
EF2,-85.54917,36.17412,4
EF2,-85.5493,36.17331,4
EF1,-85.54982,36.17216,3
EF2,-85.54993,36.17409,4
EF1,-85.55023,36.17455,3
EF2,-85.55024,36.17385,4
EF3,-85.55159,36.17393,4.999999999999999
EF2,-85.55249000000001,36.1738,4
EF2,-85.55253999999999,36.17386,4
EF1,-85.55255,36.17312,3
EF2,-85.55257,36.1738,4
EF2,-85.55262000000001,36.17386,4
EF2,-85.55267000000001,36.17381,4
EF1,-85.55289999999999,36.17416,3
EF2,-85.55385,36.17348,4
EF1,-85.55397000000001,36.17434,3
EF1,-85.55446000000001,36.17446,3
EF1,-85.55471,36.1738,3
EF1,-85.55517,36.17436,3
EF1,-85.55547,36.17453,3
EF1,-85.55553999999999,36.17458,3
EF1,-85.55627,36.17344,3
EF2,-85.55779,36.17386,4
EF2,-85.55798,36.17437,4
EF1,-85.55884,36.17557,3
EF1,-85.56228,36.17653,3
EF1,-85.56294,36.17404,3
EF3,-85.5654,36.17487,4.999999999999999
EF3,-85.56543000000001,36.17561,4.999999999999999
EF1,-85.56544,36.17622,3
EF1,-85.56544,36.17363,3
EF3,-85.56558,36.17513,4.999999999999999
EF3,-85.56558,36.17557,4.999999999999999
EF3,-85.56565000000001,36.17515,4.999999999999999
EF3,-85.56585,36.17561,4.999999999999999
EF3,-85.56592999999999,36.17498,4.999999999999999
EF3,-85.56605,36.17497,4.999999999999999
EF2,-85.56614,36.17443,4
EF1,-85.56621,36.17385,3
EF1,-85.56622,36.17352,3
EF3,-85.56625873,36.17501615,4.999999999999999
EF3,-85.56629861,36.17497514,4.999999999999999
EF3,-85.56637902,36.17496783,4.999999999999999
EF3,-85.56656056,36.17500343,4.999999999999999
EF3,-85.56673000000001,36.17501,4.999999999999999
EF3,-85.56675045999999,36.17513836,4.999999999999999
EF2,-85.56685,36.17481,4
EF3,-85.56739,36.17511,4.999999999999999
EF1,-85.56923000000001,36.17348,3
EF1,-85.56995000000001,36.17666,3
EF3,-85.57111,36.17537,4.999999999999999
EF3,-85.57111999999999,36.17576,4.999999999999999
EF3,-85.57116000000001,36.17543,4.999999999999999
EF1,-85.57120999999999,36.17415,3
EF1,-85.57125000000001,36.17706,3
EF3,-85.57135,36.17615,4.999999999999999
EF3,-85.57136176,36.17609005,4.999999999999999
EF1,-85.57232000000001,36.17767,3
EF1,-85.574,36.17734,3
EF1,-85.57433,36.17448,3
EF2,-85.57445,36.17606,4
EF3,-85.5745,36.17627,4.999999999999999
EF2,-85.57511,36.17726,4
EF3,-85.57559000000001,36.17689,4.999999999999999
EF3,-85.57566839,36.17716027,4.999999999999999
EF4,-85.57585,36.17595,7
EF4,-85.57615,36.17628,7
EF4,-85.57615,36.17649,7
EF4,-85.57619,36.17658,7
EF4,-85.57619,36.17651,7
EF4,-85.5762,36.17677,7
EF4,-85.57622222000001,36.1763,7
EF1,-85.57678,36.17773,3
EF4,-85.57718,36.17649,7
EF4,-85.57726,36.17656,7
EF4,-85.57731,36.1766,7
EF4,-85.57731,36.17673,7
EF1,-85.57777,36.17444,3
EF1,-85.57796999999999,36.17811,3
EF3,-85.57916,36.17611,4.999999999999999
EF4,-85.57916,36.17651,7
EF4,-85.57931911,36.17647293,7
EF3,-85.57934,36.1766,4.999999999999999
EF3,-85.57966999999999,36.17604,4.999999999999999
EF4,-85.57980000000001,36.17655,7
EF3,-85.57989000000001,36.17682,4.999999999999999
EF1,-85.57993999999999,36.17719,3
EF1,-85.58004,36.17488,3
EF1,-85.58011999999999,36.17597,3
EF2,-85.58047000000001,36.17591,4
EF4,-85.58063,36.17664,7
EF4,-85.58141000000001,36.1767,7
EF4,-85.58141448000001,36.17662334,7
EF4,-85.58141999999999,36.17695,7
EF4,-85.58146000000001,36.17758,7
EF4,-85.58146000000001,36.17736,7
EF3,-85.58148,36.17646,4.999999999999999
EF1,-85.58185,36.17478,3
EF4,-85.58187187,36.17696595,7
EF3,-85.58197,36.17739,4.999999999999999
EF3,-85.58199000000001,36.17627,4.999999999999999
EF4,-85.58222000000001,36.17692,7
EF4,-85.58228,36.17741,7
EF3,-85.58231000000001,36.17626,4.999999999999999
EF4,-85.58257999999999,36.17691,7
EF2,-85.58259,36.17741,4
EF2,-85.58284,36.17575,4
EF2,-85.5829,36.17738,4
EF4,-85.58293000000001,36.17688,7
EF1,-85.58298000000001,36.17419,3
EF4,-85.58323,36.17691,7
EF3,-85.58326,36.17572,4.999999999999999
EF4,-85.58364,36.17679,7
EF3,-85.584,36.17612,4.999999999999999
EF4,-85.58404,36.17671,7
EF1,-85.58417,36.17733,3
EF4,-85.58429,36.17701,7
EF1,-85.58435,36.17626,3
EF1,-85.58521,36.17757,3
EF3,-85.58537,36.17701,4.999999999999999
EF3,-85.58561,36.17606,4.999999999999999
EF3,-85.58568,36.17669,4.999999999999999
EF1,-85.58634000000001,36.17424,3
EF3,-85.5864,36.17651,4.999999999999999
EF3,-85.58741000000001,36.17716,4.999999999999999
EF1,-85.58767,36.17535,3
EF3,-85.58805,36.17727,4.999999999999999
EF1,-85.58861,36.17836,3
EF3,-85.58922,36.17696,4.999999999999999
EF3,-85.58936,36.17671,4.999999999999999
EF3,-85.59034,36.1772,4.999999999999999
EF3,-85.59086000000001,36.17666,4.999999999999999
EF1,-85.59097,36.17796,3
EF1,-85.59108999999999,36.1749,3
EF1,-85.59466999999999,36.17889,3
EF3,-85.59536,36.17646,4.999999999999999
EF1,-85.59574000000001,36.17401,3
EF1,-85.59741,36.17467,3
EF3,-85.59801,36.1764,4.999999999999999
EF2,-85.59884,36.17584,4
EF2,-85.60038,36.17591,4
EF1,-85.60068,36.17453,3
EF2,-85.60068,36.17659,4
EF2,-85.60075000000001,36.17719,4
EF1,-85.60084000000001,36.17514,3
EF2,-85.60136,36.17683,4
EF2,-85.60173,36.17722,4
EF1,-85.60218,36.17459,3
EF1,-85.60448,36.17455,3
EF2,-85.60459,36.17594,4
EF1,-85.60654,36.17685,3
EF1,-85.60844,36.1765,3
EF2,-85.61022,36.17578,4
EF1,-85.61024999999999,36.17527,3
EF1,-85.61078999999999,36.17597,3
EF1,-85.61089,36.1754,3
EF1,-85.61169,36.17556,3
EF1,-85.61233,36.17603,3
EF1,-85.90371,36.15555,3
EF1,-85.90508,36.15646,3
EF1,-85.91154998,36.15846453,3
EF1,-85.92544,36.16166,3
EF1,-85.92549,36.16149,3
EF1,-85.93114,36.1634,3
EF1,-85.93165000000001,36.16291,3
EF1,-85.93701,36.16428,3
EF1,-85.93895000000001,36.16363,3
EF1,-85.94251,36.16417,3
EF1,-85.94271851000001,36.16460449,3
EF1,-85.9443,36.16446,3
EF1,-85.97058,36.16833,3
EF1,-85.9832,36.16963,3
EF1,-85.98594,36.17018,3
EF1,-85.986,36.16985,3
EF1,-86.00232,36.17226,3
EF1,-86.01054000000001,36.17375,3
EF1,-86.02543,36.17765,3
EF1,-86.02627,36.17808,3
EF1,-86.04078,36.18026,3
EF1,-86.05172,36.1815,3
EF1,-86.06081,36.18349,3
EF1,-86.06361,36.18338,3
EF1,-86.06956,36.18443,3
EF1,-86.07073,36.18587,3
EF1,-86.07608000000001,36.18741,3
EF1,-86.08772999999999,36.18906,3
EF1,-86.09573,36.18661,3
EF1,-86.10254999999999,36.18914,3
EF1,-86.11211,36.191,3
EF1,-86.11485999999999,36.18972,3
EF1,-86.11568,36.19156,3
EF1,-86.12547000000001,36.19126,3
EF1,-86.13890000000001,36.19111,3
EF1,-86.14711,36.19224,3
EF1,-86.15644,36.19022,3
EF1,-86.16038,36.18983,3
EF1,-86.17014,36.19236,3
EF1,-86.17045,36.19206,3
EF1,-86.17632,36.1922,3
EF1,-86.17637000000001,36.19206,3
EF1,-86.19346,36.19152,3
EF1,-86.19717,36.19128,3
EF1,-86.19949,36.19212,3
EF1,-86.20046000000001,36.19262,3
EF1,-86.20058,36.19212,3
EF1,-86.20097,36.1919,3
EF1,-86.21044000000001,36.19284,3
EF1,-86.21375000000001,36.19469,3
EF1,-86.21519000000001,36.19493,3
EF1,-86.22113,36.19308,3
EF1,-86.22411,36.19327,3
EF1,-86.22526000000001,36.19553,3
EF1,-86.22906,36.19512,3
EF1,-86.22994,36.19467,3
EF1,-86.23021,36.19464,3
EF1,-86.24411000000001,36.19659,3
EF1,-86.24972,36.1963,3
EF1,-86.25088,36.19302,3
EF1,-86.25183,36.19372,3
EF1,-86.25292,36.19514,3
EF1,-86.25405000000001,36.19568,3
EF1,-86.25427999999999,36.19652,3
EF1,-86.25498,36.19375,3
EF1,-86.25587,36.19281,3
EF1,-86.25969000000001,36.19224,3
EF1,-86.27087,36.19326,3
EF1,-86.27168,36.19347,3
EF1,-86.27327,36.19243,3
EF1,-86.27345,36.1939,3
EF1,-86.27536000000001,36.19644,3
EF1,-86.27549999999999,36.19513,3
EF1,-86.27585000000001,36.19541,3
EF1,-86.27648000000001,36.19453,3
EF1,-86.27652000000001,36.19638,3
EF1,-86.27903000000001,36.19261,3
EF1,-86.28559,36.19442,3
EF1,-86.28775,36.19267,3
EF1,-86.29093,36.19186,3
EF1,-86.29416000000001,36.19162,3
EF1,-86.29447,36.1927,3
EF1,-86.29541999999999,36.19124,3
EF1,-86.29613999999999,36.19253,3
EF1,-86.30045,36.19217,3
EF1,-86.30495000000001,36.19219,3
EF1,-86.30816,36.19273,3
EF1,-86.30965000000001,36.19267,3
EF1,-86.31996,36.19177,3
EF1,-86.32266,36.19245,3
EF1,-86.32449,36.18946,3
EF1,-86.32581999999999,36.19191,3
EF1,-86.33887,36.18807,3
EF1,-86.34273,36.18472,3
EF2,-86.34618,36.18796,4
EF1,-86.34828,36.18955,3
EF1,-86.35131,36.18634,3
EF1,-86.35253,36.19001,3
EF2,-86.35581000000001,36.18832,4
EF1,-86.35602,36.18537,3
EF2,-86.35702000000001,36.18677,4
EF2,-86.36445999999999,36.18756,4
EF2,-86.36705000000001,36.18733,4
EF2,-86.37432,36.18761,4
EF1,-86.37486,36.18609,3
EF1,-86.37909999999999,36.18923,3
EF1,-86.38617000000001,36.18855,3
EF1,-86.39747294,36.18813483,3
EF2,-86.39847641999999,36.18854311,4
EF1,-86.40354000000001,36.18776,3
EF2,-86.40376000000001,36.18872,4
EF2,-86.40388,36.18841,4
EF2,-86.40406,36.18798,4
EF1,-86.4045,36.18932,3
EF1,-86.40495,36.18847,3
EF1,-86.40549,36.18971,3
EF1,-86.4055,36.18851,3
EF1,-86.40698999999999,36.18836,3
EF1,-86.40833000000001,36.18811,3
EF2,-86.41045,36.18765,4
EF2,-86.41054,36.18742,4
EF1,-86.41083,36.18631,3
EF2,-86.41108,36.18896,4
EF1,-86.41153,36.18708,3
EF1,-86.41160000000001,36.18527,3
EF2,-86.41271,36.18966,4
EF3,-86.41406000000001,36.18751,4.999999999999999
EF1,-86.41521,36.18605,3
EF1,-86.41611,36.18524,3
EF3,-86.41678,36.18703,4.999999999999999
EF3,-86.41687,36.18749,4.999999999999999
EF1,-86.41793,36.18706,3
EF1,-86.41929,36.18583,3
EF3,-86.42693,36.18469,4.999999999999999
EF3,-86.42849,36.18475,4.999999999999999
EF3,-86.42901000000001,36.18473,4.999999999999999
EF3,-86.43214,36.18672,4.999999999999999
EF3,-86.43298,36.18557,4.999999999999999
EF2,-86.43473,36.18587,4
EF3,-86.43474000000001,36.18694,4.999999999999999
EF2,-86.43545,36.18555,4
EF1,-86.43593,36.18404,3
EF3,-86.4366,36.18565,4.999999999999999
EF1,-86.43770000000001,36.18537,3
EF1,-86.43877999999999,36.18564,3
EF1,-86.43940000000001,36.18671,3
EF3,-86.44004,36.18555,4.999999999999999
EF3,-86.44005,36.18576,4.999999999999999
EF2,-86.45014000000001,36.18677,4
EF2,-86.45566,36.18673,4
EF2,-86.45804,36.18706,4
EF2,-86.46355,36.18512,4
EF1,-86.46406,36.18855,3
EF3,-86.46695,36.18427,4.999999999999999
EF2,-86.46849,36.18589,4
EF3,-86.47163999999999,36.18553,4.999999999999999
EF2,-86.47198,36.18392,4
EF2,-86.47313,36.18566,4
EF3,-86.47618,36.18341,4.999999999999999
EF3,-86.47666,36.18626,4.999999999999999
EF3,-86.47703,36.18413,4.999999999999999
EF2,-86.48012,36.18635,4
EF2,-86.48245,36.18463,4
EF2,-86.48269000000001,36.18553,4
EF1,-86.48322,36.18158,3
EF2,-86.48372999999999,36.18469,4
EF1,-86.48439000000001,36.18724,3
EF2,-86.48502000000001,36.18305,4
EF1,-86.48845,36.18134,3
EF2,-86.49383,36.18403,4
EF1,-86.50021,36.18762,3
EF2,-86.50183,36.18428,4
EF1,-86.50552,36.18738,3
EF1,-86.50617,36.18344,3
EF1,-86.50648,36.18086,3
EF1,-86.50858,36.18672,3
EF2,-86.50941,36.18143,4
EF2,-86.50959,36.18422,4
EF2,-86.51035,36.18394,4
EF1,-86.51157000000001,36.18684,3
EF1,-86.51168,36.18515,3
EF2,-86.51184000000001,36.18461,4
EF2,-86.5119,36.18426,4
EF2,-86.51203,36.18392,4
EF2,-86.51203,36.18357,4
EF2,-86.51293,36.1847,4
EF2,-86.51294,36.18402,4
EF2,-86.51298,36.18367,4
EF2,-86.51303,36.18327,4
EF2,-86.5136,36.18453,4
EF2,-86.51374,36.1848,4
EF1,-86.51376000000001,36.18626,3
EF1,-86.51378,36.18408,3
EF2,-86.51383,36.18377,4
EF2,-86.51387,36.18339,4
EF2,-86.51392,36.18303,4
EF1,-86.51461999999999,36.18636,3
EF1,-86.51503,36.18489,3
EF1,-86.51525,36.18563,3
EF1,-86.51542000000001,36.18479,3
EF3,-86.51622999999999,36.18349,4.999999999999999
EF3,-86.51628,36.18344,4.999999999999999
EF1,-86.5163,36.18402,3
EF3,-86.51651,36.18279,4.999999999999999
EF1,-86.5167,36.18094,3
EF1,-86.51685999999999,36.18565,3
EF1,-86.51691,36.18237,3
EF3,-86.51750456000001,36.18291441,4.999999999999999
EF3,-86.51757000000001,36.18282,4.999999999999999
EF2,-86.5176,36.18412,4
EF1,-86.51866,36.18437,3
EF1,-86.5188,36.18163,3
EF1,-86.51909000000001,36.18517,3
EF1,-86.51965,36.18414,3
EF2,-86.51996,36.18312,4
EF1,-86.52,36.18388,3
EF3,-86.52009,36.18183,4.999999999999999
EF1,-86.52034,36.1848,3
EF1,-86.52104,36.18543,3
EF3,-86.52112,36.18225,4.999999999999999
EF3,-86.52227000000001,36.18312,4.999999999999999
EF3,-86.52406000000001,36.18265,4.999999999999999
EF3,-86.52407,36.18274,4.999999999999999
EF2,-86.5241,36.18205,4
EF2,-86.52519,36.18183,4
EF3,-86.52529,36.1815,4.999999999999999
EF2,-86.52537,36.18117,4
EF2,-86.52552,36.18077,4
EF3,-86.52589999999999,36.18198,4.999999999999999
EF1,-86.526,36.18429,3
EF2,-86.526,36.18162,4
EF3,-86.52611,36.18129,4.999999999999999
EF3,-86.52669,36.18211,4.999999999999999
EF2,-86.52679000000001,36.18177,4
EF2,-86.52688000000001,36.18145,4
EF2,-86.52697000000001,36.1811,4
EF1,-86.52833,36.1791,3
EF1,-86.52878,36.18313,3
EF1,-86.53048,36.18004,3
EF2,-86.53063,36.18021,4
EF2,-86.53121,36.18067,4
EF1,-86.53147,36.18065,3
EF1,-86.53234999999999,36.17893,3
EF2,-86.53241,36.18008,4
EF2,-86.53274999999999,36.18064,4
EF2,-86.53322,36.18076,4
EF1,-86.53359,36.1821,3
EF1,-86.53425,36.18109,3
EF1,-86.53591,36.17991,3
EF1,-86.53675,36.18089,3
EF1,-86.53756,36.18074,3
EF2,-86.53762,36.17951,4
EF2,-86.53782,36.17966,4
EF2,-86.53803000000001,36.17973,4
EF1,-86.53834999999999,36.17934,3
EF1,-86.5385,36.18001,3
EF2,-86.53863,36.1778,4
EF1,-86.53865999999999,36.17894,3
EF2,-86.53870000000001,36.17799,4
EF2,-86.53925,36.17849,4
EF2,-86.5394,36.17863,4
EF1,-86.54007,36.17898,3
EF1,-86.54045000000001,36.17862,3
EF2,-86.54055,36.17755,4
EF1,-86.54162,36.1778,3
EF1,-86.54210999999999,36.17609,3
EF1,-86.54507,36.17755,3
EF1,-86.54608,36.17635,3
EF1,-86.55108,36.17687,3
EF1,-86.55271000000001,36.17685,3
EF2,-86.55355,36.1772,4
EF1,-86.55419999999999,36.17716,3
EF1,-86.55472,36.17758,3
EF1,-86.55486000000001,36.17718,3
EF2,-86.55547,36.17726,4
EF2,-86.55597,36.17736,4
EF1,-86.55785,36.17649,3
EF1,-86.55917,36.17682,3
EF1,-86.55972,36.17695,3
EF1,-86.56021,36.17701,3
EF1,-86.56050000000001,36.17725,3
EF1,-86.56131000000001,36.17726,3
EF1,-86.56762000000001,36.17626,3
EF2,-86.56909,36.17627,4
EF2,-86.57082,36.17668,4
EF1,-86.57335000000001,36.17679,3
EF1,-86.58204000000001,36.17833,3
EF1,-86.58497,36.17815,3
EF2,-86.58533,36.17771,4
EF1,-86.58534,36.17749,3
EF2,-86.5855,36.1779,4
EF1,-86.58598000000001,36.17799,3
